CUSTOMERNAME,PHONE,ADDRESS,CONTACTLASTNAME,CONTACTFIRSTNAME,POSTALCODE,customer_id,city_id,state_id,territory_id,country_id
Land of Toys Inc.,2125557818,897 Long Airport Avenue,Yu,Kwai,10022,0,0,0,0,0
Reims Collectables,26.47.1555,59 rue de l'Abbaye,Henriot,Paul,51100,1,1,1,1,1
Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Da Cunha,Daniel,75508,2,2,1,1,1
Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Young,Julie,90003,3,3,2,0,0
Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Brown,Julie,,4,4,2,0,0
Technics Stores Inc.,6505556809,9408 Furth Circle,Hirano,Juri,94217,5,5,2,0,0
Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Rance,Martine,59000,6,6,1,1,1
Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Oeztan,Veysel,N 5804,7,7,1,1,2
Mini Wheels Co.,6505555787,5557 North Pendale Street,Murphy,Julie,,8,4,2,0,0
Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Perrier,Dominique,75016,9,2,1,1,1
"Australian Collectors, Co.",03 9520 4555,"636 St Kilda Road, 636 St Kilda Road",Ferguson,Peter,3004,10,8,3,2,3
Vitachrome Inc.,2125551500,"2678 Kingston Rd., 2678 Kingston Rd.",Frick,Michael,10022,11,0,0,0,0
Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Brown,William,94019,12,9,4,0,0
Gift Depot Inc.,2035552570,25593 South Bay Ln.,King,Julie,97562,13,10,5,0,0
La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Labrune,Janine,44000,14,11,1,1,1
Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Hernandez,Marta,51247,15,12,6,0,0
"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Karttunen,Matti,21240,16,13,1,1,4
Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Bergulfsen,Jonas,4110,17,14,1,1,2
Diecast Classics Inc.,2155551555,7586 Pompton St.,Yu,Kyung,70267,18,15,7,0,0
Salzburg Collectables,6562-9555,Geislweg 14,Pipps,Georg,5020,19,0,0,0,0
